A2000J01
Recreativo,1,19,0,0,1,0,1,0
Sporting,1,20,0,0,1,0,1,0
Jaén,1,21,0,0,1,0,2,0
Levante,1,22,0,0,1,0,3,0
A2001J02
Atlético,42,1,23,10,9,68,44,79
Racing,42,2,19,14,9,58,37,71
Recreativo,42,3,18,15,9,47,35,69
Xerez,42,4,19,9,14,43,42,66
Elche,42,5,17,14,11,52,39,65
Sporting,42,6,17,13,12,57,47,64
Eibar,42,7,14,16,12,41,27,58
Oviedo,42,8,13,19,10,41,40,58
Albacete,42,9,15,11,16,43,42,56
Racing Ferrol,42,10,16,8,18,58,60,56
Salamanca,42,11,13,15,14,52,53,54
Córdoba,42,12,14,11,17,46,51,53
Leganés,42,13,13,14,15,40,46,53
Badajoz,42,14,15,8,19,43,52,53
Murcia,42,15,12,16,14,37,38,52
Burgos,42,16,12,16,14,31,37,52
Numancia,42,17,13,12,17,45,53,51
Poli Ejido,42,18,12,14,16,41,48,50
Levante,42,19,12,14,16,41,54,50
Gimnástic,42,20,12,13,17,45,49,49
Extremadura,42,21,10,13,19,37,50,43
Jaén,42,22,11,9,22,30,52,42
A2001J03
Atlético,42,1,23,10,9,68,44,79
Racing,42,2,19,14,9,58,37,71
Recreativo,42,3,18,15,9,47,35,69
Xerez,42,4,19,9,14,43,42,66
Elche,42,5,17,14,11,52,39,65
Sporting,42,6,17,13,12,57,47,64
Eibar,42,7,14,16,12,41,27,58
Oviedo,42,8,13,19,10,41,40,58
Albacete,42,9,15,11,16,43,42,56
Racing Ferrol,42,10,16,8,18,58,60,56
Salamanca,42,11,13,15,14,52,53,54
Córdoba,42,12,14,11,17,46,51,53
Leganés,42,13,13,14,15,40,46,53
Badajoz,42,14,15,8,19,43,52,53
Murcia,42,15,12,16,14,37,38,52
Burgos,42,16,12,16,14,31,37,52
Numancia,42,17,13,12,17,45,53,51
Poli Ejido,42,18,12,14,16,41,48,50
Levante,42,19,12,14,16,41,54,50
Gimnástic,42,20,12,13,17,45,49,49
Extremadura,42,21,10,13,19,37,50,43
Jaén,42,22,11,9,22,30,52,42
A2001J04
Atlético,4,1,3,1,0,9,1,10
Xerez,4,2,3,0,1,4,1,9
Burgos,4,3,3,0,1,3,2,9
Oviedo,4,4,2,2,0,7,3,8
Racing Ferrol,4,5,2,2,0,5,2,8
Salamanca,4,6,2,1,1,7,6,7
Recreativo,4,7,2,1,1,3,2,7
Jaén,4,8,2,0,2,6,6,6
Numancia,4,9,1,2,1,5,4,5
Albacete,4,10,1,2,1,3,2,5
Levante,4,11,1,2,1,5,6,5
Eibar,4,12,1,2,1,3,4,5
Racing,4,13,1,2,1,2,3,5
